,rate,pop,total deaths
AL,7.5,4863300,364.7475
AK,12.5,741894,92.73675
AZ,11.4,6931071,790.142094
AR,5.9,2988248,176.306632
CA,4.9,39250017,1923.2508330000000
CO,9.5,5540545,526.351775
CT,24.5,3576452,876.23074
DE,16.9,952065,160.89898500000000
FL,14.4,20612439,2968.191216
GA,8.8,10310371,907.3126480000000
HI,5.2,1428557,74.284964
ID,7.4,1683140,124.55236
IL,15.3,12801539,1958.635467
IN,12.6,6633053,835.7646780000000
IA,6.2,3134693,194.350966
KS,5.1,2907289,148.271739
KY,23.6,4436974,1047.125864
LA,7.7,4681666,360.488282
ME,25.2,1331479,335.532708
MD,29.7,6016447,1786.884759
MA,29.7,6811779,2023.0983630000000
MI,18.5,9928300,1836.7355
MN,7.4,5519952,408.476448
MS,6.2,2988726,185.30101200000000
MO,15.9,6093000,968.787
MT,4.2,1042520,43.78584
NE,2.4,1907116,45.770784
NV,13.3,2940058,391.02771400000000
NH,35.8,1334795,477.85661
NJ,16,8944469,1431.11504
NM,17.5,2081015,364.177625
NY,15.1,19745289,2981.538639
NC,15.4,10146788,1562.605352
ND,7.6,757952,57.60435200000000
OH,32.9,11614373,3821.128717
OK,11.6,3923561,455.133076
OR,7.6,4093465,311.10334000000000
PA,18.5,12784227,2365.081995
RI,26.7,1056426,282.065742
SC,13.1,4961119,649.9065890000000
SD,5,865454,43.2727
TN,18.1,6651194,1203.866114
TX,4.9,27862596,1365.2672040000000
UT,16.4,3051217,500.399588
VT,18.4,624594,114.92529600000000
VA,13.5,8411808,1135.59408
WA,9.4,7288000,685.072
WV,43.4,1831102,794.698268
WI,15.8,5778708,913.0358640000000
WY,8.7,585501,50.938587