id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system
ISRM 08,Dove Body Milk/Dove Essential Nourishment Body Lotion,69.94,7,0,7,0,0,0,12.51,2.5,0,0,1.05,100,43.58,40.48,36.52,68.52,11.17,22.31,10.77,38.73,16.27,17.94,66.7,10.82,27.07,40.42,64.58,1718,46,15.3,31.1,46.31,7.45,45.37,41.57,68.27,13.5,20.07,12.17,40.7,13.8,16.57,60.27,9.87,21.1,47.67,45.97,11-0238,2374,21,17.8,33.2,0.13,0,0.189,-0.072,0.2,0.02,-0.416,0.103,-0.29,0.15,other,none,none
ISRM 09,Dove Intensive Firming Gel Cream,68.373,1,2,18,1,0,0,2.112,6.05,0.1,0.315,1.05,100,38.34,38.49,44.83,65.48,8.91,18.41,10.4,41.91,17.45,16.74,68.61,16.65,34.07,37.69,56.14,1534,53,12.1,31.1,50.57,149.58,32.97,49.5,63.5,8.7,16.5,10.83,40.23,18.63,19.27,75.1,18.33,34.13,33.97,65.9,11-0238,1498,82,11.3,29.5,-0.52,-0.52,-0.681,-0.486,-0.62,-0.47,-0.29,-0.209,-0.14,-0.19,VICL,none,Carbopol
ISRM 10,"Dove Tinderbox (Intensive Cream, Nourishing Care)",54.28,0,0,7,17,0,0,12,8.37,0.2,0.2,0.95,100,49.85,62.45,53.68,56.59,31.16,45.36,12.65,50.05,15.67,13.68,43.96,20.27,39.09,70.26,27.62,2610,108,11.9,38.5,38.33,132.81,68.57,56.17,52.93,35.07,47.83,11.27,47.37,11.07,12.17,38,26.4,42.67,74.13,22,11-0238,3988,128,12.7,41.8,1.72,-0.35,1.982,-0.427,1.7,-0.4,1.645,-0.258,1.46,-0.24,VICL,none,Carbopol/Veegum
ISRM 11,Dove Sparrow / Giant/Dove Visible Effects Body Lotion,58.7,0.759,1.103,25,0,0,0.138,3.5,7.75,2,0,1.05,100,37.52,39.29,49.26,61.12,6.99,16.09,9.94,43.07,15.38,16.16,68.51,18.23,25.56,40.53,56.48,1549,41,11.1,32.2,41.4,15.03,33.6,36.33,62.87,9.8,17.33,9.73,38.67,20.6,21.1,73.77,15.73,28.2,35.03,66.59,11-0238,714,14,8,28,-0.71,0.14,-0.736,0.235,-0.69,0.35,-0.197,-0.455,-0.03,-0.46,VICL,none,Carbopol/Simulgel
ISRM 12,Icing Elastomer Invert Day,47.37,0.18,0,10.3,0,0,26,10.3,1.95,2.5,0.72,0.68,100,34.93,43.99,28.79,61.58,12.56,25.6,11.05,37.1,33.02,34.66,58.68,12.38,30.39,49.6,46.82,2187,28,9.6,19.1,42.5,57.32,46.43,29.33,64.6,10.37,18.73,11.3,34.87,18.9,22.3,60.93,12.5,20.93,49.33,45.03,11-0238,1434,19,10.2,29.1,-0.36,0.38,0.045,0.674,0.08,0.79,0.034,1.492,0.21,1.45,invert,9045,none
ISRM 13,Icing Eye Cream,10,11.35,0,15.3,0,0,45.57,4.63,1.25,11.7,0,0.2,100,35.16,40.16,23.51,54.24,13.84,28.27,11.8,36.42,38.98,44.65,59.86,14.52,28.19,46.01,28.49,2783,14,0.1,12.2,33.93,1.51,48.53,24.7,55.77,11.33,26,8.73,41.23,28.9,36.33,49.33,11.33,23.63,53.57,20.37,11-0238,2298,38,2.4,20.9,0.55,1.72,0.787,1.857,0.64,1.78,0.186,2.263,0.37,2.05,invert,9045,none
ISRM 14,Pond's Age Defense ,66.2,8.5,0.25,5,0,0,0,9.45,6,3,1,0.6,100,42.04,44.11,51.63,61.89,9.86,20.53,10.62,41.67,17.96,18.07,66.15,9.79,27.95,44.48,57.35,1049,29,12.7,30.7,40.67,1.89,47.23,60.67,59.5,6.13,17.17,8.7,51.13,11.93,11.9,55.67,18.53,36.3,51.27,38.27,11-0238,2687,66,12.7,36.4,0.8,-1,0.74,-0.94,0.6,-1.09,-0.061,-0.378,0.11,-0.37,VICL,none,Aristoflex
ISRM 15,Ponds Double White Night Lotion ,81.53,0,1.01,8.39,0,0,0,3.3,2.2,0,2.8,0.77,100,37.91,25.59,45.19,73.41,6.89,15.9,9.89,23.18,17.65,13.96,77.72,11.49,35.38,28.55,76.6,974,32,14.6,32.5,44.07,37.9,21,47.17,77.5,5.1,11.27,10.5,11.17,12.7,11.72,84.4,14.73,40.07,17.4,82.5,11-0238,260,2,13,36.7,-2.8,-1.67,-1.918,-1.059,-2.75,-1.26,-1.326,-0.544,-1.49,-0.56,other,none,Sepigel/Veegum/xanthan
ISRM 16,Ponds Fine Pore Moisturizer ,46.137,3.5,0.75,3.5,0,0,39.4,0.65,0.758,4.3,0.58,0.425,100,31.85,37.64,23.05,58.11,10.09,21.35,11.17,34.22,39.68,42.82,71.07,8.95,22.34,37.06,57.35,2238,20,6.7,11.3,36.73,23.8,34.5,17.17,57.33,10.83,24.43,10.8,34.37,51.67,60.86,75.27,10.6,25.57,35,63.1,11-0238,2393,30,6,0.6,-0.94,2.54,-1.029,2.949,-1.08,2.6,-0.694,2.019,-0.62,1.87,silky,Gransil,Sepigel
ISRM 17,Ponds Masstige Upper Eye Cream,0,16.8,0,0,0,0,75,6.2,0.1,1.4,0,0.5,100,37.98,35.35,16.36,54.08,23.4,43.11,13.12,30.86,55.32,59.15,58.68,6.24,16.95,51.42,15.78,6207,36,0,8.9,36.78,1.43,35.2,15.37,50,19.87,40.07,11.23,40.07,60,68.96,55.23,7.2,20.67,52.6,10.9,11-0238,7800,61,0,9.6,0.52,3.57,0.538,4.073,0.46,3.51,0.314,3.581,0.49,2.88,invert,9045,none
ISRM 18,Vaseline Petroleum Jelly,0,0,0,0,100,0,0,0,0,0,0,0,100,88.57,34.24,34.82,54.49,74.8,81.89,16.62,81.23,13.1,13.41,44.85,43.29,57.05,69.44,15.69,7174,33,0,39.2,72.92,245.08,43.07,24.67,53.33,71.03,79.83,16.17,80.2,12.46,12.54,35.87,42.93,53,76.32,14.5,11-0238,7326,18,0,41.9,2.02,2.17,2.422,1.149,2.29,1.21,2.145,0.662,1.67,0.71,PJ,none,none
ISRM 19,Vaseline Total Moisture,82.233,0,0.325,10,0.25,0,0,0.6,5.82,0.1,0.26,0.412,100,37.91,34.59,52.03,68.38,6.19,13.88,10.09,40.68,13.09,11.48,76.63,12.59,34.01,28.02,69.57,359,22,13.7,35.3,47.86,98.97,36.67,67.93,65.67,6.07,13.9,8.63,40.9,11.83,10.43,75.83,17.97,41.5,37.17,64.83,11-0238,1098,10,16.9,36,-0.49,-1.81,-0.459,-1.66,-0.38,-2.23,-0.787,-0.876,-0.75,-0.95,VICL,none,Carbopol/Veegum
ISRM 20,Vaseline intensive care lotion Allstate,64.964,0,0.8,16.8,0.25,0,0,7.111,8.775,0.6,0,0.7,100,38.82,47.72,59.66,63.63,9.77,20.48,10.17,43.3,12.58,11.89,62.65,15.47,32.73,44.92,47.06,1001,32,12.1,35.4,38.6,0.05,40.86,56.07,66.2,11.13,22.93,9.63,41.47,13.67,14,67.33,21.4,39.2,41,62,11-0238,1152,22,11.3,33.8,-0.27,-1.18,-0.199,-0.89,-0.13,-1.01,0.295,-0.965,0.47,-1.06,VICL,none,hydroxyethyl cellulose/Veegum/xanthan
ISRM 21,Fair & Lovely Multi-vitamin for clear fair skin,74.849,0,0.5,1,0,0,0,3.45,18.99,0.2,0,1.011,100,37.93,52.75,77.1,52.02,6.97,16.04,9.89,45.93,13.77,12.82,64.29,7.28,21.2,49.19,40.23,1471,39,14.3,35,41.96,16.25,56.67,79.67,47,5.83,10.33,8.57,38.73,9.33,10.83,65.07,3.93,11.65,56.83,41.27,11-0238,1600,14,12.7,38.6,0.59,-2.38,0.681,-1.814,0.56,-2.5,0.647,-1.48,0.79,-1.7,other,none,none
ISRM 22,15727-41 (batch#15608-186),33.89,16,3.62,3,0,18,18,1.2,2,2.7,0.69,0.9,100,40.53,36.18,22.25,58.06,6.86,15.96,11.12,38.25,35.07,39.94,68.91,8.65,17.36,39.15,63.21,2583,45,8,14.4,44.43,15.2,40,18.14,55.93,7.83,18.73,11.47,43.03,38.1,42.73,69.1,5.4,17.6,38.57,58.03,11-0238,4217,65,7.8,12,-0.21,2.12,-0.537,2.17,-0.46,2.02,-0.705,1.773,-0.64,1.68,silky,9041/9045,Aristoflex
ISRM 23,15727-53 (batch#15608-188),42.49,16,3.62,3,0,13.7,13.7,1.2,2,2.7,0.69,0.9,100,41.04,37.21,23.05,56.72,6.39,15.07,11,38.14,31.07,35.56,70.17,8.65,17.06,38.02,66.37,2306,45,8.7,17.8,43.64,6.74,35.6,21.77,59.7,6.33,18.47,10.7,40.17,34,40.17,72.1,5.43,16.03,35.5,63.03,11-0238,3242,79,6.5,14.6,-0.45,1.77,-0.771,1.785,-0.73,1.73,-0.748,1.497,-0.69,1.46,silky,9041/9045,Aristoflex
ISRM 24,15727-54 (batch#15608-189),51.09,16,3.62,3,0,9.4,9.4,1.2,2,2.7,0.69,0.9,100,41.66,37.81,24.16,57.07,6.03,14.33,10.86,38.02,27.33,31.2,71.79,8.65,16.76,36.75,69.53,2046,45,9.4,21,43.6,3.76,35.33,25.47,61.9,6.5,16.9,10.97,38.23,22.57,27.13,73,5.1,16.53,37.83,64.36,11-0238,2589,37,8.8,24.6,-0.46,1.07,-0.717,0.979,-0.67,1.07,-0.809,1.207,-0.77,1.21,silky,9041,Aristoflex
ISRM 25,15727-48 (batch#15608-187),68.245,0,4,4,0,5,10,1.5,2,4,0.455,0.8,100,34.28,36.28,35.06,59.9,6.27,14.85,9.85,37.02,23.31,24.04,73.79,9.24,21.61,36.91,75.23,1376,39,11.1,25.7,38.87,21.03,25.43,27.61,55.93,2.9,9.57,10,16.5,18.67,17.33,81.83,4.9,19.9,24.93,77.83,11-0238,643,14,13.8,31,-1.93,0.04,-1.612,0.326,-2.07,0.45,-0.868,0.461,-0.85,0.51,silky,9041/9045,Carbopol
ISRM 26,15877-29 (batch#15608-185),45.43,16,3.62,10,0,5,13.7,1.2,1.3,2.7,0,1.05,100,41.04,40.57,22.33,60.15,6.39,15.07,11,36.9,26.88,32.4,71.16,12.24,17.85,37.82,65.48,2429,50,8.2,20.7,43.5,6.04,36.33,19.9,60.07,11.2,21.77,11.83,35.7,36.1,45.5,72,11.47,21.9,36.73,61.17,11-0238,1993,23,6.8,11.7,-0.81,1.78,-0.796,2.01,-0.76,1.9,-0.736,1.276,-0.68,1.27,invert,9041,none
ISRM 27,15824-65 (batch#15824-065),12.23,16,3.62,25,1.2,18,18,0,2,2.7,0.35,0.9,100,41.08,30.8,18.28,59.35,8.95,17.24,11.53,39.29,34.39,39.67,65.51,19.44,28.19,39.85,46.86,3021,56,4.2,14.8,41.57,0.24,37.32,24.1,57.57,17.5,29.23,11.77,30.2,33.6,41.96,65.57,17.5,26.33,41.66,48.63,11-0238,2469,25,7.1,14.5,-0.62,1.66,-0.39,1.788,-0.31,1.73,-0.44,1.95,-0.31,1.82,silky,9041,Aristoflex
ISRM 28,"15809-132, 2.5% Gransil from powder",59.915,5,12.7,7.5,0,3,2.5,2,2,4,0.485,0.9,100,36.8,33.58,30.33,61.91,6.18,14.61,10.43,38.21,20.57,22.26,73.65,11.07,19.27,35.76,71.43,1636,66,5.7,27.5,39.73,8.6,33.73,27.37,65.2,7.37,16.27,10.9,34.3,15.31,22.5,73.1,6.87,17.43,35.23,65.63,11-0238,2379,32,7.1,29.5,-0.63,0.49,-0.81,0.564,-0.78,0.68,-0.854,0.537,-0.83,0.59,silky,other,Carbopol
ISRM 29,"15809-143, SSW",37.1,5.025,3.62,7.5,0,13.7,25.725,2,1.5,2.7,0.23,0.9,100,33.37,35.97,22.25,58.56,8.43,18.98,10.43,36.92,36.15,40.79,67.52,11.07,20.98,41.38,59.96,2492,41,8,13.9,36.3,8.56,35.17,25,50.9,12.6,24.17,11.77,30.7,29.73,34.77,69.6,13.17,24.07,37.83,58.79,11-0238,1830,18,7.8,18.6,-0.61,1.27,-0.631,1.467,-0.57,1.48,-0.607,1.884,-0.52,1.77,invert,9041/9045,Carbopol
ISRM 30,53 with Silstar ,45.36,13.7,3.62,3,1.2,13.7,16,0,2,0,0.52,0.9,100,39.5,34.59,8.81,58.43,8.72,16.8,11.22,38.17,32.04,36.7,68.06,9.86,17.41,33.39,61.86,2661,55,9,16.9,41.33,3.35,32.57,20.79,58.83,8.43,17.83,11.4,31.77,31.33,36.17,73.7,9.43,20.2,33.73,64.73,11-0238,1708,28,7.6,17.4,-0.91,1.4,-0.977,1.583,-1,1.57,-0.806,2.183,-0.77,2,silky,9041,Aristoflex
ISRM 31,29 modified everday therapeutic invert - (higher elastomer/agarose) - Dow Corning,57.1,0,0,0,0,0,40,0.8,0.75,0,0.6,0.75,100,31.36,36.28,20.23,54.61,10.33,21.85,11.16,33.59,39.66,40.15,70.52,6.24,22.82,33.05,59.53,2616,30,10,12.6,36.33,24.67,32.39,21.39,58.23,9.6,19.87,11.2,24.33,41.8,46.18,70.23,10.5,25,36.63,68.24,11-0238,1116,18,10.7,9,-1.13,1.63,-1.101,2.064,-1.18,1.94,-0.776,2.103,-0.73,1.94,silky,homemade,Aristoflex
ISRM 32,Place holder other 53 modified everyday therapeutic -Dow Corning,57.1,0,0,0,0,0,40,0.8,0.75,0,0.6,0.75,100,31.36,36.28,20.23,54.61,10.33,21.85,11.16,33.59,39.66,40.15,70.52,6.24,22.82,33.05,59.53,2616,30,10,12.6,34.43,9.41,31.4,18.47,58.3,8.67,16.83,10.17,27.2,38.83,39.4,75.17,6.77,17.37,31.73,66.73,11-0238,1172,16,10.2,13.4,-1.18,1.67,-1.186,1.968,-1.31,1.87,-0.776,2.103,-0.73,1.94,silky,homemade,Aristoflex
ISRM 33,Silky +3% PPAR,46.95,10,0,7,0,10,19,0,4,2,0.3,0.75,100,36.2,34.19,25.17,57.5,5.99,13.21,10.24,39.66,31.5,36.24,69.99,10.82,24.12,34.7,64.03,1867,30,9.8,17.3,36.7,0.25,36.57,27.86,57,9.73,17.97,9.97,32.13,24.67,28.9,70.27,13.83,26.83,35.37,61.33,11-0238,911,29,7.4,23.1,-0.81,0.74,-0.702,0.966,-0.65,1.05,-0.764,1.459,-0.72,1.43,Montanov,9041,xanthan
ISRM 34,Place holder other 29 modified therapeutic - Dow Corning,43.094,0,3.62,3,1.2,13.7,31.986,0,2,0,0.5,0.9,100,32.51,32.83,16.93,57.01,11.08,21.05,10.96,37.39,38.02,39.68,66.69,9.86,22.86,36.39,57.18,3025,54,8.6,13.3,35.97,12,33.23,23.97,57,13.53,25.13,11.23,29.6,34.63,41.9,72.33,14.67,29.9,35.97,64.31,11-0238,1870,22,12.8,13.7,-0.84,1.45,-0.896,1.726,-0.89,1.68,-0.644,2.194,-0.56,2,silky,9041/9045,Aristoflex
ISRM 35,53 Modified Water based therapeutic - Dow Corning,36.95,3.25,0,7,1.2,13.7,32,0,2,2.7,0.3,0.9,100,32.9,39.07,18.95,56.71,11.08,21.05,10.95,37.67,39.48,43.66,64.12,12.03,26.38,42.06,50.49,2965,47,9,11.5,33.37,0.22,36.87,28.93,53.57,12.93,22.5,10.63,31.27,30,30.47,66.3,16.37,30.07,40.87,58.25,11-0238,2986,33,9.6,20.5,-0.42,1.09,-0.495,1.181,-0.42,1.24,-0.362,2.264,-0.22,2.05,silky,9041/9045,Carbopol
ISRM 36,Place holder other 53 modified everyday therapeutic -silstar,38.094,0,3.62,7,1.2,13.7,31.986,0,2,1,0.5,0.9,100,32.51,36.5,25.2,57.96,11.08,21.05,10.96,37.62,38.02,39.68,66.18,12.03,26.02,40.59,54.65,3038,54,7.8,13.6,33.57,1.13,35.73,26.97,55.3,12.67,22.23,10.3,30.17,28.97,31.33,67.4,18.27,28.67,38.9,57.33,11-0238,1681,14,8.2,20.4,-0.76,1.04,-0.575,1.225,-0.5,1.28,-0.463,1.839,-0.34,1.73,silky,9041/9045,Aristoflex
ISRM 37,HUT 48 with 15% glycerin,56.965,0,4,15,0,5,10,1.5,2,4.04,0.585,0.91,100,34.28,32.95,35.08,60.34,6.27,14.85,9.85,37.67,23.99,24.47,71.92,14.39,28.32,37.42,69.48,1608,42,9.6,25.2,38.2,15.33,40.87,39.87,63.37,6.37,14.63,9.53,36.77,15.56,20.33,65.93,21.83,38.57,41.83,60.5,11-0238,2813,53,10.8,30.4,-0.38,-0.19,-0.364,-0.08,-0.28,0.01,-0.773,0.493,-0.73,0.54,silky,9045,Carbopol
ISRM 38,"same as 37, stabilized with fumed silica",58.734,0,4,15,0,5,10,1.5,0.4,4.04,0.416,0.91,100,34.28,32.52,33,61.9,6.27,14.85,9.85,33.94,23.65,24.33,73.76,14.39,28.13,36.21,70.98,1580,42,9.9,25.4,39.27,24.85,33.97,38.57,61.1,6.23,13.4,8.47,28,17.8,20.9,74.2,13.27,28.1,34.9,66.73,11-0238,1906,34,11.3,29.1,-0.79,-0.22,-0.889,0.011,-0.88,0.11,-0.918,0.521,-0.92,0.57,particle,9045,Carbopol
ISRM 39,"same as 38, with 0.2% Tween 40 added at end",58.508,0,4,15,0,5,10,1.5,0.6,4.04,0.442,0.91,100,34.28,32.54,33.24,61.7,6.27,14.85,9.85,34.74,23.71,24.35,73.51,14.39,28.18,36.35,71.18,1583,42,9.8,25.4,39.62,28.47,35,30.41,60.23,6.7,14.53,8.97,33.17,17.6,22.57,73.73,14.6,26.5,35.17,66.17,11-0238,2106,29,9.7,28.5,-0.55,0.28,-0.821,0.418,-0.79,0.54,-0.901,0.518,-0.9,0.57,particle,9045,Carbopol
ISRM 40,TM15826164-2 silky with no silicone or particle YourEncore cream with dermol99 ,86.25,0,0,0,0,0,0,10,0.3,0,2.7,0.75,100,40.09,35.81,42.71,65.69,10.1,20.86,10.03,20.85,17.51,13.88,73.53,6.24,28.61,35.01,72.03,1003,30,17.2,32.3,42.41,5.4,33.73,43.4,66.5,5.13,14,9.43,34.37,16.37,15.63,73.8,4,13.23,34.73,69.87,11-0238,1828,18,16,32,-0.77,-0.22,-0.821,-0.291,-0.79,-0.23,-0.966,-0.327,-0.98,-0.32,other,none,other
ISRM 41,"Like 96. EC-15984-122, w increased viscosity (more Aristoflex) ",58.65,0,0,0,0,0,39.2,0,0.7,0,0.7,0.75,100,31.42,32.41,20.22,54.55,9.45,19.23,11.14,33.39,39.43,39.84,73.35,6.24,22.94,29.31,64.36,2517,30,10.2,13.3,32,0.34,35.73,20.6,52.73,8.9,19.83,10.4,34.73,37.3,42.07,68.77,9.5,21.93,38.67,59.5,11-0238,2577,31,6.4,12.6,-0.54,1.92,-0.666,2.056,-0.61,1.94,-1.005,2.037,-1.04,1.89,silky,Gransil,Aristoflex
ISRM 42,"like DP16048-97, w/PFP surfactant and Polymer levels & isohexadecane ",57.1,0,0,0,0,0,40,0.8,0.75,0,0.6,0.75,100,31.36,36.28,20.23,54.61,10.33,21.85,11.16,33.59,39.66,40.15,70.52,6.24,22.82,33.05,59.53,2616,30,10,12.6,31.2,0.03,35.23,25.23,51.87,12.17,23.27,10.73,30.7,35.4,34.07,69,12.67,26.97,38,60.9,11-0238,2477,18,13.8,16.9,-0.58,1.45,-0.678,1.593,-0.62,1.58,-0.776,2.103,-0.73,1.94,silky,9041/9045,Aristoflex
ISRM 43,system k,0,47.5,0,0,0,0,50,0,0,2.5,0,0,100,84.48,37.55,16.98,51.86,12.02,23.4,20.31,29.31,38.08,45.29,69.4,6.24,14.59,42.31,26.73,4788,407,0,11.5,85.04,0.32,37.1,16.53,47.23,17.5,38,19.97,22.83,31.4,37.5,71.17,2.9,10.43,42.23,19.43,11-0238,3807,409,0,17.2,0.15,1.91,-0.033,2.029,0.02,1.92,-0.199,2.215,-0.04,2.02,other,9040,none
ISRM 44,53 w/o elastomer and shear gel,69.58,16,3.62,3,0,0,0,1.2,2,2.7,1,0.9,100,45.09,35.74,44.76,64,5.64,13.43,10.93,38.04,19.63,19.87,79.27,8.65,24.96,31.46,76.16,1556,45,11,29,40.57,20.46,36.23,37.37,63.63,5.53,14.63,8.6,37.17,13,14.33,73.67,6.6,16.83,36.07,65.5,11-0238,2352,53,13.1,33.8,-0.41,0.07,-0.658,-0.118,-0.6,-0.03,-0.992,-0.256,-1.02,-0.24,silky,none,Aristoflex
ISRM 45,111 with high elastomer and low water,37.1,0,0,0,0,0,60,0.8,0.75,0,0.6,0.75,100,30.14,35.96,19.14,52.21,15.51,30.12,11.51,33.75,49.42,48.97,67.4,6.24,24.38,36.52,46,4045,30,6.1,5.4,35,23.59,43.33,27.93,45.07,21.23,42,11,43.93,29.27,32.67,48.9,18.03,32.27,55.33,17.83,11-0238,6735,88,4.8,22.6,0.95,1.8,1.037,1.807,0.82,1.75,-0.464,2.799,-0.34,2.42,silky,9041/9045,Aristoflex
