id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system
ISRM 46,PJ invert Dove lip balm darwin2,5,0,0,15,61.588,0,0,12.412,5,0,1,0,100,72.85,48.82,42.05,56.1,61.05,74.89,15.31,71.45,11.97,10.54,32.19,39.9,60.44,78.54,5.04,6391,88,0,43.5,87.93,227.43,43.83,26.03,54.8,59.65,72.59,14.17,77.3,11.1,12.57,38.33,37.07,46.43,69.67,15.57,11-0238,5816,120,0,40.3,1.83,1.71,2.176,0.894,1.94,0.99,2.637,0.333,1.81,0.38,PJ,none,VP/hexadecene
ISRM 47,PJ invert (as above) with some SFSO,5,0,0,15,41.588,0,0,32.412,5,0,1,0,100,113.1,53.34,42.37,55.25,56.54,72.06,17.36,61.34,10.33,8.97,30.12,33.24,38.38,84.1,17.2,8008,165,3.4,46.4,112.8,0.09,45.2,22.2,59.5,57.77,69.83,19.54,53.4,12.5,14.96,49,28.77,38.17,64.33,20.36,11-0238,9000,304,0,37.5,1.17,1.58,1.437,0.807,1.15,0.91,2.403,-0.106,1.75,-0.08,PJ,none,VP/hexadecene
ISRM 48,PJ invert (as above) with some D5,5,15,0,15,46.588,0,0,12.412,5,0,1,0,100,71.65,51.03,32.15,55.42,52.16,66.39,16.46,63.82,13.53,15.31,34.9,34.97,51.07,72.74,5.77,7584,128,0,39.4,75.36,13.8,44,27.93,51.2,61.14,71,15,74.67,12,13.87,37.73,39.83,48.1,73.33,15.23,11-0238,6111,113,1.3,40.6,1.76,1.74,2.226,0.933,2.01,1.03,2.286,0.818,1.72,0.85,PJ,none,VP/hexadecene
ISRM 49,PJ/D5 with fatty alcohol/acid blend,0,17.7,0,0,65.1,0,0,0,17.2,0,0,0,100,79.33,50.61,51.1,38.97,56.55,64.96,15.89,78.3,11.9,15.79,36.95,32.86,38.76,74.73,-8.04,8154,88,0,40.4,94.14,219.41,45.9,26.14,42.77,56.43,68.17,17.86,73.17,14.93,15.68,41.83,34.39,42.57,68.67,16.4,11-0238,8127,309,0,37.6,1.82,1.71,2.06,1.036,1.8,1.12,2.89,0.233,1.84,0.28,PJ,none,none
ISRM 50,high elastomer and emollient and low water,3.69,0,0,0,0,0,73.17,22.5,0.64,0,0,0,100,49.85,43.98,18.46,54.17,29.49,50.9,13.02,33.94,45.31,47.2,50.84,6.24,15.55,52.97,21.96,5193,18,1.5,12.2,68.11,333.49,42.57,19.47,62.77,30.83,51.43,13.92,33.63,35.96,39.37,58.73,7.57,18.07,50.5,24.73,11-0238,3216,16,2,16.5,-0.18,2.27,0.414,2.224,0.37,2.06,0.622,2.916,0.77,2.49,silky,9041/9045,none
ISRM 57,Pond's Age Miracle Day Cream with SPF,46.25,0.5,0.5,10.37,0,0,26.5,8.5,3.28,3.1,0.27,0.73,100,33.89,45.18,29.62,60.28,11.84,24.62,11.02,38.65,32.89,35.48,59.92,12.41,25.9,49.62,47.36,2204,30,9,18.8,42.25,69.81,54.46,37.42,61.29,15.67,32.79,11.08,52.71,17.67,15.83,54.88,15.08,27.42,56.08,36.54,12-0094,3129,38,5.8,33.5,0.7,0.41,0.883,0.405,0.71,0.53,0.041,1.48,0.22,1.44,invert,9045,other
ISRM 58,Fenomino TM SA ,67.23,0,0.51,3.1,0,0,0,24.8,3.25,0,0.3,0.81,100,64.3,42.33,46.67,65.18,15.94,28.05,11.63,39.67,15.15,13.04,62.99,8.71,21.7,49.39,68.48,1523,52,16,34.4,50.96,178.04,42.33,33.13,64.21,13.88,28.12,10.96,38.88,24.58,19.17,70.62,9.58,20.75,40.83,63.12,12-0094,966,19,15.8,27.6,-0.39,0.54,-0.429,0.501,-0.35,0.62,-0.153,-0.515,0.01,-0.53,VICL,none,carboxymethylcellulose
ISRM 59,Fenomino TM SEA,85.549,0.75,2,1.475,0,0,0,4,4.843,0,0.48,0.903,100,38.02,33.37,42.96,65.44,7.26,16.55,9.93,39.76,17.22,16.25,75.78,7.64,24.04,32.52,74.28,1201,38,15.1,31.4,40.54,6.36,33.38,54.75,65.54,4.92,13.04,8.25,32.42,22.17,17.12,78.62,9.58,31.46,33.04,70.04,12-0094,888,37,14,29.3,-1.07,-0.87,-0.923,-0.658,-0.93,-0.7,-0.858,-0.221,-0.84,-0.2,VICL,none,Carbopol/Veegum
ISRM 60,Fenomino 2 HUT NA,43.069,0,3.62,3,1.2,13.7,31.986,0,2,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,34.08,2.48,33.67,20.29,57.04,11.75,21.54,9.38,37.33,40.38,40,76.29,11.21,24.29,33.54,66.29,12-0094,2708,36,10.3,12.5,-0.63,1.86,-0.965,2,-0.99,1.89,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex
ISRM 61,Fenomino 2 SA,78.696,0,0,3.1,0.5,3,7.4,0,5.051,0.85,0.5,0.903,100,34.94,38.58,34.33,60.95,6.54,13.44,10.06,39.5,21.94,22.1,71.89,9.31,24.95,34.76,68.36,1369,41,15,27,36.83,3.58,35.92,33.12,59.96,4.21,12.46,7.62,37.17,30.46,29.29,73.67,9.04,26.21,34.96,62.88,12-0094,2398,25,19.7,20.7,-0.52,0.74,-0.769,0.885,-0.73,0.98,-0.702,0.443,-0.64,0.49,VICL,homemade,Aristoflex
ISRM 62,Fenomino 2 SEA,80.081,0,0,3.1,0,1.35,4.125,4,5.041,0.85,0.55,0.903,100,35.61,40.35,39.35,63.47,7.35,16.79,9.61,39.59,19.69,19.14,69.24,8.71,24.69,39.82,67.49,1305,35,15.6,29.3,39.71,16.78,35.29,49.96,64.92,5.88,16.54,8.58,39.04,19,16.08,75.21,8.21,27.83,36.12,64.54,12-0094,1856,18,16.7,30.8,-0.48,-0.44,-0.605,-0.436,-0.54,-0.41,-0.507,0.131,-0.39,0.18,VICL,homemade,Carbopol/Veegum
ISRM 63,formula AK16006-176 HUT winner go to market formula,63.079,0,4,15,1,0,4.5,3,4.675,1.1,2.634,1.012,100,35.88,40.46,36.27,65.35,9.52,19.65,10.78,29.98,22.31,20.5,64.1,15.44,30.48,42.68,53.26,1789,56,10.3,27.9,44.21,69.46,46.25,38.21,54.5,11.17,23.38,9,46.42,18.67,17.83,60.17,20.67,35.62,48.12,37.54,12-0094,2489,58,9.2,30.9,0.51,0.21,0.464,0.296,0.4,0.42,-0.324,0.362,-0.18,0.41,Montanov,9041,other
ISRM 64,duplicate of AK16006-176 with home-made elastomer,63.079,0,4,15,1,0,4.5,3,4.675,1.1,2.634,1.012,100,35.88,40.46,36.27,65.35,9.52,19.65,10.78,29.98,22.31,20.5,64.1,15.44,30.48,42.68,53.26,1789,56,10.3,27.9,43.25,54.38,46.71,33.88,53.92,13.21,28.29,9.29,44.96,22.17,18.96,61.71,20.42,35.12,49.46,39.21,12-0094,2834,51,12.5,29.4,0.47,0.46,0.411,0.613,0.36,0.73,-0.324,0.362,-0.18,0.41,Montanov,homemade,other
ISRM 65,16202-177,28.6,0,0,3,1.2,20,40,0,2,4.05,0.4,0.75,100,31.92,38.25,27.04,56.19,12.7,23.78,11.11,37.63,43.62,45.61,63.06,9.86,27.55,43.67,47.72,3167,42,8.2,9.7,31.25,0.44,34.67,23.42,56.92,9.12,18,9.42,34.62,38.38,38.33,71.29,13.46,26.58,36.58,60.92,12-0094,2426,23,8.2,13.8,-0.65,1.52,-0.783,1.785,-0.75,1.73,-0.243,2.158,-0.09,1.98,silky,homemade,Aristoflex
ISRM 66,16080-14 ,43.069,0,3.62,3,1.2,13.7,31.986,0,2,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,34.62,4.47,33.25,23.79,56.58,11.29,24.92,10.12,39.79,39.88,40.42,72.17,15.67,32.25,35.12,60.25,12-0094,3325,21,8.3,12.3,-0.4,1.74,-0.712,1.904,-0.66,1.82,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex
ISRM 67,Dove Intensive Firming Gel Cream,74.31,2,2,12.17,2,0,0,1.25,4.61,0.1,0.32,1.24,100,38.9,39.4,41.16,67.06,10.11,19.44,10.66,40.9,18.38,17.87,70.86,15,31.65,37.56,62.19,1844,67,13.5,30.2,42.88,15.81,33.38,51.12,66.46,7.54,16.67,9.58,39.88,15.79,14.29,77.96,23.38,40.92,35.29,68.88,12-0094,1499,80,10.6,32.8,-0.53,-0.8,-0.735,-0.8,-0.69,-0.89,-0.456,-0.048,-0.33,-0.01,VICL,none,Carbopol
ISRM 68,Ponds Fine Pore Moisturizer ,46.097,3.5,0.75,3.5,0,0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,33.62,3.13,35.92,20.42,58.83,9.88,22.33,10.46,34.42,46.96,48.17,70.96,11.92,26.25,38.21,61.42,12-0094,2326,27,6,6.5,-0.78,2.04,-0.82,2.387,-0.79,2.18,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel
ISRM 69,"Dove Tinderbox (Intensive Cream, Nourishing Care)",55.09,0,0,6.09,17,0,0,12,8.37,0.2,0.35,0.9,100,49.85,62.1,53.68,56.3,31.16,45.36,12.65,50.01,15.96,13.72,44.07,19.82,39.06,70.05,27.86,2564,107,11.9,38.4,36.38,181.56,68.92,60.17,56.42,30,47.33,10.71,49.42,13.75,12.96,43.25,27.67,43.71,75.29,24.21,12-0094,3700,119,16.3,41,1.65,-0.68,1.891,-0.56,1.6,-0.57,1.633,-0.245,1.45,-0.23,VICL,none,Carbopol/Veegum
ISRM 70,Ponds Double White Night Lotion ,81.95,0,1,8.05,0,0,0,3.3,2.2,0,2.8,0.7,100,37.91,25.69,45.19,73.46,6.89,15.9,9.89,23.16,17.36,13.73,77.81,11.33,35.18,28.2,76.8,857,29,14.5,32.8,39.42,2.27,20.96,48.33,77.79,4.58,10.42,11.25,12.83,13.71,13.17,84.46,19.12,43.21,18.58,83.29,12-0094,323,3,15,35.5,-2.69,-1.68,-1.904,-1.056,-2.71,-1.25,-1.333,-0.559,-1.5,-0.58,other,none,Sepigel/Veegum/xanthan
ISRM 71,"recreation of ""14""  ( ISRM 2012-66)   lab/pilot control",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,29.31,10.2,35.85,21.35,59.12,11.52,19.76,11.73,36.73,38,40.12,60.92,8.35,20.96,38.56,50.85,13-0461,2883,62,6.2,13.2,-0.27,1.88,-0.395,2.092,-0.31,1.96,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 72,"""63""  (""14"" with DL50/54)",43.069,0,3.62,3,1.2,13.7,31.986,0,2,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,26.62,34.64,34.04,16.19,58.46,8.68,16.44,11.5,34.69,41.35,42.46,63.27,8.38,16.2,36.2,52.92,13-0461,2333,56,7.7,10.9,-0.44,2.19,-0.613,2.411,-0.55,2.2,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex
ISRM 73,"""99"" type, cheap silky",43.1,0,3.62,3,1.2,13.7,31.986,0,2,0.05,0.594,0.75,100,32.51,34.68,20.12,57.02,11.08,21.05,10.96,37.39,37.61,39.3,66.69,9.86,23.05,36.94,57.13,2794,49,8.2,13.6,26.54,35.59,39.54,19.27,61.73,10.2,19.54,10.46,39.15,38.04,41.69,56.73,7.77,19.96,44.55,38.96,13-0461,4688,39,8.1,13.3,-0.18,2.16,-0.015,2.318,0.03,2.13,-0.598,2.038,-0.5,1.89,silky,homemade,Carbopol/Pemulen
ISRM 74,"""63"" prod/prod",43.069,0,3.62,3,1.2,13.7,31.986,0,2,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,26.15,40.39,35.19,18.92,59,10.88,18.96,11.42,38.5,41.5,42.92,65.77,7.54,19.88,35.42,55.08,13-0461,2546,48,5.9,10.6,-0.4,2.1,-0.6,2.336,-0.53,2.15,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex
ISRM 75,"mid-range silky (1/2 ""99"")",68.222,0,1.81,3,0.6,6.85,15.993,0,2,0.05,0.725,0.75,100,33.74,33.56,22.72,60.29,7.5,15.23,10.38,36.73,27.48,28.46,72.66,9.35,22.37,31.52,70.95,1525,39,12.3,22.3,28.46,27.88,36.23,24.15,63.19,8.58,15.62,9.42,37.73,34,33.73,61.19,7.58,23.27,39.96,54.5,13-0461,3158,39,9.3,17.6,-0.56,1.52,-0.418,1.649,-0.34,1.62,-0.977,1.224,-1,1.22,silky,homemade,Carbopol/Pemulen
ISRM 76,silky with moisturization @10% glycerin,47.2,3,4,10,1.5,0,30,0,2,0.75,0.7,0.85,100,33.14,38.85,18.33,61.62,11.26,21.1,11.66,37.37,36.97,39.7,66.79,13.68,25.58,38.81,52.18,3120,55,6.8,13.8,29.35,14.4,35.15,18.12,57.88,9.12,20.62,11.73,38.12,36.12,40.38,62.31,8.88,20.73,37.44,48.58,13-0461,3184,51,7.2,13.7,-0.25,2.05,-0.384,2.205,-0.3,2.05,-0.49,2.062,-0.37,1.91,silky,homemade,Aristoflex
ISRM 77,silky with moisturization @18% glycerin,41.97,4,6,18,1.5,0,22,1,2,2,0.68,0.85,100,34.1,41.01,20.54,60.81,10.85,21.54,11.61,38.05,32.75,35.69,63.79,17.04,28.17,42.57,46.97,2791,60,5.5,17.4,28.42,32.23,35.15,20.31,57.35,8.27,17.11,11.31,38.58,31,35,61.15,9.35,19.54,39.65,49.81,13-0461,3087,73,7.1,18.1,-0.27,1.75,-0.319,1.832,-0.24,1.76,-0.234,1.778,-0.08,1.69,silky,homemade,Aristoflex
ISRM 78,prototype at 25% glycerin and PPAR,17.488,0,0,25,1.2,13,35,1.6,3.25,2,0.4,1.062,100,32.29,37.22,27.98,54.61,12.9,25.58,11.01,39.64,39.73,41.29,57.29,19.44,38.21,49.33,31.44,3535,52,5.8,14.2,30.54,3.07,40.62,23.46,58.15,14.04,29.15,12.88,58.12,37.65,40.65,47.27,10.65,25,52.54,25.42,13-0461,1998,72,7.1,16.1,0.56,2.43,0.85,2.387,0.68,2.18,0.251,1.982,0.43,1.85,Montanov,9041,xanthan
ISRM 79,"""63"" type at 0.60 H/V",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,28.88,13.14,37.73,18.92,58.81,10.38,20.46,11.77,39.96,37.96,39.19,62.77,6.85,18.81,39.27,51.42,13-0461,2933,69,6.2,13.7,-0.21,2.07,-0.361,2.191,-0.28,2.04,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 80,"""63"" type at 0.74 H/V",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,22.27,104.75,34.88,16.64,58.69,7.35,14.92,13.08,39.72,43.5,44.12,63.92,5.8,16.46,37.5,51.04,13-0461,2848,82,6.6,9.4,-0.28,2.36,-0.51,2.566,-0.43,2.32,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 81,"""63"" type at spec",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,29.38,9.76,37.08,17.73,57.69,8.46,18.92,12.19,37.04,44.62,44.38,63.38,8.73,21,38.5,49.73,13-0461,3239,68,5.5,9.1,-0.23,2.33,-0.462,2.502,-0.38,2.27,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 82,"""63"" type at  8 ppm Pt",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,28.12,19.22,35.31,16.58,58.12,8.38,15.46,12.42,35.65,46.19,46.31,65.5,6.58,18,36.44,52.08,13-0461,3117,61,7,7.5,-0.33,2.45,-0.637,2.614,-0.57,2.35,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 83,"""63"" type at 23% starting solids",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,31.23,1.62,35.46,18.46,57.69,9.04,18.42,12.12,37.2,40.62,42.31,66.42,8.42,23.5,36.19,51.5,13-0461,3173,64,8.7,11.2,-0.38,2.09,-0.557,2.287,-0.48,2.11,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 84,"""63"" type at 43% starting solids",43.075,0,3.6,3,1.2,13.7,32,0,2,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,29.88,6.89,35.5,15.84,58.12,8.62,16.46,12.77,38.62,39.62,43.5,64.73,5.32,17.04,38.19,50.92,13-0461,3216,63,6.5,11.1,-0.3,2.29,-0.498,2.446,-0.42,2.23,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex
ISRM 85,Veronica Caucasian Medium  (BB cream optics),91.57,0,0,1,0.01,0,0,1,1.61,2.61,1,1.2,100,37.81,33.32,53.8,65.08,5.57,13.24,9.89,35.99,17.74,14.57,82.06,7.3,31.12,31.23,82.97,1600,45,17.8,32.1,43.27,29.84,36.88,58.15,61.96,3.11,9.96,7.38,32.35,19.62,15.73,64.31,5.92,25.19,40.88,61.73,13-0461,2807,128,8.9,30.9,0.11,-0.69,-0.396,-0.782,-0.32,-0.86,-1.126,-0.82,-1.2,-0.88,other,none,other
ISRM 86,FAL Winter Fairness (CB3),82.067,0,0.5,1.35,0,0,0,8.15,6.14,0.2,0.4,1.193,100,39.12,41.66,56.38,63.36,9.27,19.7,9.98,40.83,16.74,14.17,70.16,7.55,26.8,42.29,66.17,1728,45,16.9,32.7,34.96,17.27,47.12,46.31,59.31,9.68,22.23,9.58,46.42,21.19,17.96,58.12,6.77,22.12,49.35,41.85,13-0461,2732,97,16.3,30.2,0.56,0.26,0.47,0.166,0.41,0.28,-0.298,-0.748,-0.15,-0.8,other,none,Carbopol
ISRM 87,FAL Advanced Multivitamin (T72 ),74.781,0,0.5,1.2,0,0,0,3.65,18.099,0.9,0,0.87,100,37.95,53.69,78.26,52.65,7.07,16.23,9.89,45.71,13.27,12.43,64.58,7.43,21.65,49.61,41.88,1238,34,13.9,35.4,35.23,7.4,52.62,80.76,54.88,5.88,11.48,5.62,44,13.23,12.19,59.88,8.85,19.04,44.92,39.11,13-0461,595,15,10.8,35,0.51,-2.35,0.622,-1.702,0.52,-2.3,0.634,-1.569,0.78,-1.81,other ,none,none
ISRM 88,"serum, water based, Ponds Gold Radiance",77.43,0,0,18.35,0,0,0,1.1,0.18,0.04,2.6,0.3,100,37.8,21.39,45.44,72.91,5.57,13.28,9.87,22.69,14.98,11.91,80.9,15.73,43.76,21.01,75.8,182,15,12.8,35.2,40.81,9.03,19.54,49,82.18,6.5,15.58,11.96,20.42,16.54,16.81,77.12,15.85,38.62,20.04,81.56,13-0461,838,12,17.4,32.7,-2.18,-1.11,-1.654,-0.791,-2.16,-0.88,-1.512,-0.735,-1.77,-0.78,other,none,Carbopol/Aristoflex
ISRM 89,"PFP with MSP-825, horizontal control",46.097,3.5,0.75,3.5,0,0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,26.77,25.82,36.04,16.48,58.38,10.81,24.12,12.69,33.23,52.23,56.88,74.27,12.46,31.03,34.35,61.77,13-0461,1616,20,6.2,1.2,-1.07,2.46,-0.993,2.934,-1.03,2.59,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel
ISRM 90,DIFG control ,68.209,1,2,18.26,1,0,0,2,6.05,0.1,0.32,1.061,100,38.34,38.26,44.83,65.41,8.84,18.28,10.4,41.92,17.5,16.78,68.77,16.75,34.19,37.52,56.27,1551,54,12.1,31,41.85,12.36,37.27,44.77,68.23,10.27,17.92,11.54,41.23,20.2,17.24,66.65,17.15,34.31,35.12,56.69,13-0461,1302,71,12.8,29.9,-0.36,0.07,-0.358,-0.163,-0.28,-0.08,-0.3,-0.21,-0.15,-0.19,VICL,none,Carbopol
ISRM 91,PDWN control,81.95,0,1,8.05,0,0,0,3.3,2.2,0,2.8,0.7,100,37.91,25.69,45.19,73.46,6.89,15.9,9.89,23.16,17.36,13.73,77.81,11.33,35.18,28.2,76.8,857,29,14.5,32.8,41.96,16.37,20.46,42.96,80.03,6.19,11.81,13.42,13.38,17.38,14.96,83.84,13.69,40.73,17.73,83.31,13-0461,307,2,12.1,33.6,-2.82,-1.17,-1.947,-0.653,-2.81,-0.69,-1.333,-0.559,-1.5,-0.58,other,none,Sepigel/Veegum/xanthan
ISRM 92,Dove Tinderbox control,55.09,0,0,6.09,17,0,0,12,8.37,0.2,0.35,0.9,100,49.85,62.1,53.68,56.3,31.16,45.36,12.65,50.01,15.96,13.72,44.07,19.82,39.06,70.05,27.86,2564,107,11.9,38.4,29.65,408.22,71.96,60.4,55.19,38.15,53.73,10.96,48.85,14.15,12.62,39.12,30,44.96,78.88,17.76,13-0461,3300,107,15.8,42.2,1.94,-0.43,2.192,-0.434,1.96,-0.41,1.633,-0.245,1.45,-0.23,VICL,none,Carbopol/Veegum
